id_categoria,nome_categoria
1,Eletrônicos
2,Vestuário
3,Eletrônicos
4,Jogos
5,Móveis
6,Alimentos
7,Vestuário
8,Alimentos
9,Jogos
10,Jogos
11,Alimentos
12,Móveis
13,Jogos
14,Móveis
15,Móveis
16,Vestuário
17,Esportes
18,Jogos
19,Jogos
20,Eletrônicos
21,Vestuário
22,Jogos
23,Esportes
24,Esportes
25,Vestuário
26,Eletrônicos
27,Eletrônicos
28,Eletrônicos
29,Alimentos
30,Vestuário
31,Esportes
32,Eletrônicos
33,Eletrônicos
34,Vestuário
35,Esportes
36,Vestuário
37,Vestuário
38,Esportes
39,Alimentos
40,Esportes
41,Móveis
42,Vestuário
43,Jogos
44,Eletrônicos
45,Móveis
46,Jogos
47,Alimentos
48,Jogos
49,Alimentos
50,Eletrônicos
51,Eletrônicos
52,Vestuário
53,Jogos
54,Móveis
55,Alimentos
56,Esportes
57,Móveis
58,Alimentos
59,Vestuário
60,Vestuário
61,Esportes
62,Eletrônicos
63,Alimentos
64,Esportes
65,Esportes
66,Móveis
67,Jogos
68,Vestuário
69,Jogos
70,Móveis
71,Móveis
72,Eletrônicos
73,Vestuário
74,Alimentos
75,Alimentos
76,Móveis
77,Vestuário
78,Eletrônicos
79,Alimentos
80,Esportes
81,Eletrônicos
82,Esportes
83,Esportes
84,Jogos
85,Móveis
86,Esportes
87,Eletrônicos
88,Móveis
89,Móveis
90,Eletrônicos
91,Jogos
92,Móveis
93,Vestuário
94,Jogos
95,Alimentos
96,Eletrônicos
97,Vestuário
98,Esportes
99,Alimentos
100,Alimentos
101,Móveis
102,Eletrônicos
103,Esportes
104,Esportes
105,Alimentos
106,Alimentos
107,Eletrônicos
108,Alimentos
109,Vestuário
110,Esportes
111,Jogos
112,Esportes
113,Jogos
114,Vestuário
115,Jogos
116,Alimentos
117,Vestuário
118,Vestuário
119,Esportes
120,Eletrônicos
121,Jogos
122,Jogos
123,Vestuário
124,Móveis
125,Eletrônicos
126,Jogos
127,Móveis
128,Vestuário
129,Eletrônicos
130,Alimentos
131,Alimentos
132,Vestuário
133,Jogos
134,Jogos
135,Alimentos
136,Móveis
137,Jogos
138,Eletrônicos
139,Eletrônicos
140,Jogos
141,Vestuário
142,Esportes
143,Eletrônicos
144,Vestuário
145,Esportes
146,Vestuário
147,Jogos
148,Vestuário
149,Alimentos
150,Eletrônicos
151,Esportes
152,Jogos
153,Eletrônicos
154,Esportes
155,Vestuário
156,Vestuário
157,Eletrônicos
158,Alimentos
159,Alimentos
160,Vestuário
161,Jogos
162,Alimentos
163,Jogos
164,Jogos
165,Jogos
166,Eletrônicos
167,Vestuário
168,Alimentos
169,Jogos
170,Vestuário
171,Eletrônicos
172,Móveis
173,Vestuário
174,Alimentos
175,Vestuário
176,Vestuário
177,Jogos
178,Móveis
179,Alimentos
180,Eletrônicos
181,Móveis
182,Móveis
183,Alimentos
184,Alimentos
185,Esportes
186,Eletrônicos
187,Vestuário
188,Móveis
189,Eletrônicos
190,Eletrônicos
191,Móveis
192,Alimentos
193,Vestuário
194,Eletrônicos
195,Eletrônicos
196,Jogos
197,Vestuário
198,Esportes
199,Alimentos
200,Jogos
201,Vestuário
202,Vestuário
203,Esportes
204,Alimentos
205,Jogos
206,Jogos
207,Jogos
208,Eletrônicos
209,Jogos
210,Vestuário
211,Esportes
212,Eletrônicos
213,Móveis
214,Móveis
215,Jogos
216,Vestuário
217,Esportes
218,Esportes
219,Alimentos
220,Alimentos
221,Vestuário
222,Esportes
223,Eletrônicos
224,Jogos
225,Móveis
226,Alimentos
227,Jogos
228,Jogos
229,Eletrônicos
230,Jogos
231,Esportes
232,Vestuário
233,Móveis
234,Esportes
235,Móveis
236,Vestuário
237,Jogos
238,Alimentos
239,Alimentos
240,Vestuário
241,Eletrônicos
242,Alimentos
243,Eletrônicos
244,Esportes
245,Móveis
246,Eletrônicos
247,Móveis
248,Eletrônicos
249,Vestuário
250,Alimentos
251,Eletrônicos
252,Eletrônicos
253,Eletrônicos
254,Jogos
255,Alimentos
256,Jogos
257,Esportes
258,Vestuário
259,Esportes
260,Alimentos
261,Eletrônicos
262,Vestuário
263,Móveis
264,Eletrônicos
265,Eletrônicos
266,Jogos
267,Móveis
268,Vestuário
269,Móveis
270,Alimentos
271,Jogos
272,Jogos
273,Esportes
274,Móveis
275,Móveis
276,Móveis
277,Móveis
278,Esportes
279,Esportes
280,Vestuário
281,Alimentos
282,Móveis
283,Jogos
284,Jogos
285,Jogos
286,Esportes
287,Eletrônicos
288,Vestuário
289,Jogos
290,Jogos
291,Eletrônicos
292,Esportes
293,Jogos
294,Esportes
295,Eletrônicos
296,Vestuário
297,Esportes
298,Vestuário
299,Vestuário
300,Móveis
301,Eletrônicos
302,Esportes
303,Esportes
304,Móveis
305,Vestuário
306,Esportes
307,Móveis
308,Esportes
309,Esportes
310,Alimentos
311,Esportes
312,Esportes
313,Vestuário
314,Móveis
315,Esportes
316,Eletrônicos
317,Alimentos
318,Eletrônicos
319,Esportes
320,Vestuário
321,Eletrônicos
322,Eletrônicos
323,Esportes
324,Eletrônicos
325,Jogos
326,Jogos
327,Eletrônicos
328,Móveis
329,Móveis
330,Esportes
331,Vestuário
332,Jogos
333,Vestuário
334,Alimentos
335,Alimentos
336,Alimentos
337,Vestuário
338,Vestuário
339,Esportes
340,Vestuário
341,Eletrônicos
342,Eletrônicos
343,Esportes
344,Jogos
345,Móveis
346,Vestuário
347,Móveis
348,Vestuário
349,Jogos
350,Jogos
351,Jogos
352,Alimentos
353,Móveis
354,Alimentos
355,Eletrônicos
356,Esportes
357,Eletrônicos
358,Alimentos
359,Móveis
360,Eletrônicos
361,Vestuário
362,Móveis
363,Esportes
364,Jogos
365,Jogos
366,Esportes
367,Vestuário
368,Alimentos
369,Móveis
370,Esportes
371,Alimentos
372,Vestuário
373,Jogos
374,Eletrônicos
375,Jogos
376,Vestuário
377,Jogos
378,Eletrônicos
379,Jogos
380,Jogos
381,Jogos
382,Alimentos
383,Jogos
384,Alimentos
385,Vestuário
386,Alimentos
387,Jogos
388,Esportes
389,Alimentos
390,Jogos
391,Esportes
392,Alimentos
393,Móveis
394,Eletrônicos
395,Vestuário
396,Vestuário
397,Eletrônicos
398,Esportes
399,Móveis
400,Jogos
401,Esportes
402,Alimentos
403,Jogos
404,Móveis
405,Móveis
406,Esportes
407,Vestuário
408,Móveis
409,Móveis
410,Jogos
411,Jogos
412,Vestuário
413,Esportes
414,Esportes
415,Vestuário
416,Esportes
417,Jogos
418,Jogos
419,Jogos
420,Móveis
421,Esportes
422,Vestuário
423,Esportes
424,Móveis
425,Jogos
426,Eletrônicos
427,Móveis
428,Alimentos
429,Móveis
430,Esportes
431,Móveis
432,Esportes
433,Esportes
434,Móveis
435,Móveis
436,Alimentos
437,Móveis
438,Eletrônicos
439,Vestuário
440,Vestuário
441,Esportes
442,Móveis
443,Alimentos
444,Esportes
445,Alimentos
446,Móveis
447,Móveis
448,Esportes
449,Jogos
450,Jogos
451,Móveis
452,Esportes
453,Alimentos
454,Móveis
455,Jogos
456,Vestuário
457,Alimentos
458,Vestuário
459,Móveis
460,Jogos
461,Eletrônicos
462,Jogos
463,Vestuário
464,Esportes
465,Eletrônicos
466,Alimentos
467,Vestuário
468,Eletrônicos
469,Alimentos
470,Alimentos
471,Jogos
472,Móveis
473,Jogos
474,Vestuário
475,Vestuário
476,Móveis
477,Jogos
478,Jogos
479,Móveis
480,Móveis
481,Vestuário
482,Alimentos
483,Móveis
484,Jogos
485,Eletrônicos
486,Vestuário
487,Esportes
488,Esportes
489,Esportes
490,Alimentos
491,Móveis
492,Eletrônicos
493,Esportes
494,Vestuário
495,Esportes
496,Jogos
497,Móveis
498,Móveis
499,Eletrônicos
500,Eletrônicos
501,Vestuário
502,Vestuário
503,Móveis
504,Eletrônicos
505,Eletrônicos
506,Esportes
507,Esportes
508,Vestuário
509,Vestuário
510,Vestuário
511,Jogos
512,Jogos
513,Esportes
514,Móveis
515,Eletrônicos
516,Jogos
517,Vestuário
518,Jogos
519,Eletrônicos
520,Esportes
521,Vestuário
522,Jogos
523,Jogos
524,Móveis
525,Jogos
526,Vestuário
527,Jogos
528,Vestuário
529,Eletrônicos
530,Jogos
531,Móveis
532,Vestuário
533,Jogos
534,Jogos
535,Alimentos
536,Eletrônicos
537,Jogos
538,Eletrônicos
539,Esportes
540,Alimentos
541,Alimentos
542,Jogos
543,Eletrônicos
544,Móveis
545,Eletrônicos
546,Móveis
547,Esportes
548,Esportes
549,Esportes
550,Vestuário
551,Eletrônicos
552,Vestuário
553,Eletrônicos
554,Jogos
555,Móveis
556,Alimentos
557,Vestuário
558,Esportes
559,Jogos
560,Jogos
561,Esportes
562,Vestuário
563,Móveis
564,Vestuário
565,Eletrônicos
566,Vestuário
567,Móveis
568,Jogos
569,Eletrônicos
570,Móveis
571,Alimentos
572,Vestuário
573,Esportes
574,Eletrônicos
575,Vestuário
576,Eletrônicos
577,Móveis
578,Eletrônicos
579,Jogos
580,Alimentos
581,Jogos
582,Esportes
583,Móveis
584,Eletrônicos
585,Alimentos
586,Alimentos
587,Vestuário
588,Jogos
589,Esportes
590,Móveis
591,Esportes
592,Eletrônicos
593,Móveis
594,Eletrônicos
595,Eletrônicos
596,Móveis
597,Móveis
598,Eletrônicos
599,Vestuário
600,Jogos
601,Esportes
602,Vestuário
603,Esportes
604,Móveis
605,Eletrônicos
606,Alimentos
607,Esportes
608,Móveis
609,Móveis
610,Esportes
611,Eletrônicos
612,Esportes
613,Esportes
614,Esportes
615,Móveis
616,Móveis
617,Eletrônicos
618,Móveis
619,Móveis
620,Esportes
621,Alimentos
622,Alimentos
623,Móveis
624,Vestuário
625,Esportes
626,Móveis
627,Móveis
628,Esportes
629,Jogos
630,Esportes
631,Móveis
632,Jogos
633,Eletrônicos
634,Jogos
635,Eletrônicos
636,Alimentos
637,Jogos
638,Alimentos
639,Esportes
640,Eletrônicos
641,Esportes
642,Jogos
643,Eletrônicos
644,Alimentos
645,Eletrônicos
646,Jogos
647,Vestuário
648,Eletrônicos
649,Esportes
650,Esportes
651,Vestuário
652,Jogos
653,Móveis
654,Jogos
655,Vestuário
656,Vestuário
657,Alimentos
658,Jogos
659,Jogos
660,Móveis
661,Esportes
662,Esportes
663,Alimentos
664,Vestuário
665,Alimentos
666,Jogos
667,Vestuário
668,Móveis
669,Alimentos
670,Eletrônicos
671,Eletrônicos
672,Esportes
673,Móveis
674,Alimentos
675,Vestuário
676,Vestuário
677,Esportes
678,Esportes
679,Móveis
680,Jogos
681,Eletrônicos
682,Móveis
683,Vestuário
684,Móveis
685,Alimentos
686,Jogos
687,Alimentos
688,Eletrônicos
689,Jogos
690,Alimentos
691,Alimentos
692,Móveis
693,Alimentos
694,Alimentos
695,Esportes
696,Eletrônicos
697,Eletrônicos
698,Móveis
699,Móveis
700,Vestuário
701,Esportes
702,Jogos
703,Eletrônicos
704,Eletrônicos
705,Jogos
706,Eletrônicos
707,Jogos
708,Móveis
709,Jogos
710,Vestuário
711,Eletrônicos
712,Esportes
713,Jogos
714,Esportes
715,Eletrônicos
716,Vestuário
717,Jogos
718,Vestuário
719,Alimentos
720,Esportes
721,Jogos
722,Eletrônicos
723,Esportes
724,Alimentos
725,Jogos
726,Jogos
727,Alimentos
728,Alimentos
729,Eletrônicos
730,Esportes
731,Alimentos
732,Alimentos
733,Alimentos
734,Vestuário
735,Jogos
736,Esportes
737,Móveis
738,Vestuário
739,Esportes
740,Eletrônicos
741,Alimentos
742,Móveis
743,Jogos
744,Alimentos
745,Móveis
746,Alimentos
747,Móveis
748,Alimentos
749,Esportes
750,Vestuário
751,Jogos
752,Vestuário
753,Jogos
754,Jogos
755,Eletrônicos
756,Jogos
757,Alimentos
758,Jogos
759,Alimentos
760,Esportes
761,Móveis
762,Vestuário
763,Eletrônicos
764,Jogos
765,Móveis
766,Móveis
767,Vestuário
